Year;Month;Temperature;Precipitation
1939;7;16.3;155.9
1939;8;16.7;146.8
1939;9;12.3;98.6
1939;10;7.4;214.7
1939;11;6;95.5
1939;12;-0.7;68.8
1940;1;-5.3;102.2
1940;2;-0.1;77.7
1940;3;4.6;74.7
1940;4;8.9;106.1
1940;5;12.2;200.5
1940;6;15.4;114.5
1940;7;15.9;228.4
1940;8;15.4;124.7
1940;9;13.2;246.7
1940;10;7.7;75.4
1940;11;4.7;131.6
1940;12;-3.4;45.4
1941;1;-2.9;42.6
1941;2;1.1;61.6
1941;3;4.8;49.6
1941;4;6.5;81
1941;5;9;167
1941;6;16.6;126.5
1941;7;18.7;174.3
1941;8;15.5;206.3
1941;9;12.3;37.3
1941;10;7.4;103.4
1941;11;2.8;53
1941;12;0.2;32.9
1942;1;-4.7;84.9
1942;2;-3.4;30.2
1942;3;4.4;49.3
1942;4;8.6;50.9
1942;5;12.8;128.2
1942;6;15.9;138.2
1942;7;17.4;97.4
1942;8;16.8;160.9
1942;9;15.1;72.4
1942;10;11;97.7
1942;11;2.3;44.2
1942;12;0.7;24.5
1943;1;-0.1;71.8
1943;2;2.3;41.1
1943;3;6.2;63
1943;4;10.1;61.6
1943;5;13.9;80.1
1943;6;14.9;152.4
1943;7;17.8;152.3
1943;8;18.9;75.2
1943;9;14.1;115.9
1943;10;10.2;1
1943;11;3.1;53.5
1943;12;0.8;25.4
1944;1;1.6;48.1
1944;2;-1.9;142.6
1944;3;1.2;65.4
1944;4;10.2;64.2
1944;5;12.6;47.4
1944;6;14.7;184.6
1944;7;17.4;112.4
1944;8;19.7;261.5
1944;9;12.7;124.4
1944;10;7.8;85.1
1944;11;4;170
1944;12;-0.3;55.9
1945;1;-5.3;62
1945;2;3.7;52.9
1945;3;6.1;92.5
1945;4;10.3;88.6
1945;5;15.1;104.2
1945;6;18.1;103.3
1945;7;18.7;88.1
1945;8;16.3;204.9
1945;9;14;244.5
1945;10;8.4;41.5
1945;11;2.2;45.7
1945;12;0.9;82.5
1946;1;-1.7;22.8
1946;2;4.1;75.1
1946;3;5.7;35.6
1946;4;11;47.6
1946;5;13.9;162.2
1946;6;15;227.7
1946;7;18.1;231.1
1946;8;16.5;199
1946;9;14;101.2
1946;10;7.7;69.8
1946;11;3.4;26.4
1946;12;-1;38
